T,Delta,pO2
300.492,3.00E-06,0.208
300.48901,1.82E-05,0.208
300.496,2.98E-05,0.208
300.5,4.38E-05,0.208
300.5,4.50E-05,0.208
300.505,2.63E-05,0.208
300.51001,1.82E-05,0.208
300.521,2.52E-05,0.208
300.52701,1.70E-05,0.208
300.53699,1.00E-05,0.208
300.54501,1.12E-05,0.208
300.552,-6.34E-06,0.208
300.565,-6.34E-06,0.208
300.58301,-6.34E-06,0.208
300.59399,-1.67E-06,0.208
300.60901,5.33E-06,0.208
300.633,3.00E-06,0.208
300.646,5.33E-06,0.208
300.672,8.83E-06,0.208
300.698,1.12E-05,0.208
300.71899,3.22E-05,0.208
300.74899,2.75E-05,0.208
300.78299,2.05E-05,0.208
300.819,2.28E-05,0.208
300.84601,2.75E-05,0.208
300.88501,2.05E-05,0.208
300.91901,1.47E-05,0.208
300.95999,1.58E-05,0.208
300.99899,-5.04E-07,0.208
301.04199,-5.17E-06,0.208
301.08099,4.16E-06,0.208
301.13199,1.23E-05,0.208
301.16901,1.47E-05,0.208
301.215,1.58E-05,0.208
301.26999,1.47E-05,0.208
301.31601,8.83E-06,0.208
301.366,1.00E-05,0.208
301.41199,5.33E-06,0.208
301.46201,-5.04E-07,0.208
301.509,-2.84E-06,0.208
301.573,2.28E-05,0.208
301.61301,2.05E-05,0.208
301.659,2.05E-05,0.208
301.71301,5.33E-06,0.208
301.763,-4.00E-06,0.208
301.81699,-4.00E-06,0.208
301.87201,1.47E-05,0.208
301.92599,1.47E-05,0.208
301.98001,1.58E-05,0.208
302.039,6.62E-07,0.208
302.086,-8.67E-06,0.208
302.14001,-9.84E-06,0.208
302.198,-7.50E-06,0.208
302.25299,-2.15E-05,0.208
302.30899,-2.50E-05,0.208
302.36801,1.23E-05,0.208
302.42001,3.00E-06,0.208
302.474,-5.04E-07,0.208
302.534,1.58E-05,0.208
302.58899,3.10E-05,0.208
302.66699,2.98E-05,0.208
302.71701,2.40E-05,0.208
302.776,2.17E-05,0.208
302.83899,2.05E-05,0.208
302.90701,2.05E-05,0.208
302.97198,2.05E-05,0.208
303.03799,2.40E-05,0.208
303.09399,2.63E-05,0.208
303.15601,1.23E-05,0.208
303.22101,3.00E-06,0.208
303.29001,-1.67E-06,0.208
303.353,-1.67E-06,0.208
303.42401,-6.34E-06,0.208
303.48199,-4.00E-06,0.208
303.55399,-6.34E-06,0.208
303.63199,-2.38E-05,0.208
303.69901,-2.38E-05,0.208
303.763,-3.08E-05,0.208
303.832,8.83E-06,0.208
303.91199,8.83E-06,0.208
303.97601,8.83E-06,0.208
304.047,8.83E-06,0.208
304.121,3.00E-06,0.208
304.19501,4.16E-06,0.208
304.26599,1.35E-05,0.208
304.33099,4.16E-06,0.208
304.405,6.62E-07,0.208
304.48499,1.70E-05,0.208
304.54999,2.05E-05,0.208
304.633,1.23E-05,0.208
304.70001,1.00E-05,0.208
304.78299,5.33E-06,0.208
304.85199,7.66E-06,0.208
304.92801,4.16E-06,0.208
304.99799,-5.04E-07,0.208
305.07199,-5.17E-06,0.208
305.13501,-1.68E-05,0.208
305.216,-8.67E-06,0.208
305.297,1.12E-05,0.208
305.362,6.50E-06,0.208
305.436,1.83E-06,0.208
305.51599,6.50E-06,0.208
305.58401,2.28E-05,0.208
305.668,1.23E-05,0.208
305.73599,-2.97E-05,0.208
305.81299,-2.15E-05,0.208
305.88599,8.83E-06,0.208
305.96399,4.16E-06,0.208
306.043,-8.67E-06,0.208
306.10999,-8.67E-06,0.208
306.186,-1.10E-05,0.208
306.26199,-1.10E-05,0.208
306.328,-7.50E-06,0.208
306.41,-5.17E-06,0.208
306.48001,-1.67E-06,0.208
306.55899,8.83E-06,0.208
306.63501,1.83E-06,0.208
306.707,-5.04E-07,0.208
306.79099,7.66E-06,0.208
306.86499,1.23E-05,0.208
306.944,1.23E-05,0.208
307.01501,-4.00E-06,0.208
307.08899,-5.04E-07,0.208
307.16501,-5.04E-07,0.208
307.24301,-4.48E-05,0.208
